Name,Team,League,Age,Goals,Assists,ProgP,SoT,G/Sh,SCA,PassesPA,KP,Creation Rank,Scoring Rank
Jack Taylor,Ipswich Town,Championship,25,2,0,35,6,0.15,14,5,6,1530.0,445.5
Jack Whatmough,Preston,Championship,27,0,0,15,0,0.0,2,0,2,2152.0,1712.5
Jacob Brown,Stoke City,Championship,25,1,0,1,1,0.5,3,0,1,2407.0,732.0
Jacob Chapman,Huddersfield,Championship,23,0,0,0,0,0,0,0,0,2590.0,1712.5
Jacob Greaves,Hull City,Championship,23,0,3,119,3,0.0,42,12,16,404.0,1375.0
Jaden Philogene Bidace,Hull City,Championship,21,6,5,31,20,0.11,64,11,27,579.5,253.5
Jaden Warner,Norwich City,Championship,21,0,0,1,0,0,2,1,1,2279.5,1712.5
Jaheim Headley,Huddersfield,Championship,22,1,1,24,2,0.2,30,10,15,995.0,702.5
Jaidon Anthony,Leeds United,Championship,24,1,0,15,4,0.07,25,6,8,1581.0,771.5
Jak Alnwick,Cardiff City,Championship,30,0,0,0,0,0,1,0,1,2480.5,1712.5
Jake Bidwell,Coventry City,Championship,30,0,1,53,1,0.0,27,11,13,833.5,1540.5
Jake Clarke-Salter,QPR,Championship,26,1,0,28,1,0.14,8,0,3,2002.0,851.0
Jake Cooper,Millwall,Championship,28,0,0,52,4,0.0,35,6,10,1294.0,1319.5
Jake Garrett,Blackburn,Championship,20,0,1,21,2,0.0,11,5,3,1436.0,1452.5
Jake Livermore,Watford,Championship,34,1,1,56,1,0.2,13,4,5,1198.5,790.5
Jakub Stolarczyk,Leicester City,Championship,23,0,0,0,0,0,0,0,0,2590.0,1712.5
Jamal Lewis,Watford,Championship,25,0,1,62,5,0.0,31,14,14,735.0,1287.5
Jamal Lowe,Swansea City,Championship,29,5,2,31,13,0.09,30,13,11,808.0,343.0
James Bree,Southampton,Championship,26,0,1,32,2,0.0,9,3,4,1393.0,1452.5
James Hill,Blackburn,Championship,22,1,3,69,4,0.08,20,11,8,673.5,756.0
James Justin,Leicester City,Championship,25,2,1,103,2,0.29,17,5,6,979.5,555.5
James Morris,Watford,Championship,22,0,0,21,0,0.0,10,2,1,1980.0,1712.5
James Ward-Prowse,Southampton,Championship,29,0,1,11,2,0.0,5,2,2,1696.5,1452.5
Jamie Allen,Coventry City,Championship,28,0,1,47,3,0.0,25,13,9,916.5,1375.0
Jamie Knight-Lebel,Bristol City,Championship,19,0,0,0,0,0,0,0,0,2590.0,1712.5
Jamie Lindsay,Rotherham Utd,Championship,28,1,0,18,2,0.17,0,1,0,2172.5,726.5
Jamie McCart,Rotherham Utd,Championship,26,0,0,0,0,0,0,0,0,2590.0,1712.5
Jamie Paterson,Swansea City,Championship,32,4,4,69,8,0.11,66,31,29,234.5,392.5
Jamie Shackleton,Leeds United,Championship,24,0,1,29,0,0.0,16,2,6,1398.5,1712.5
Jamie Vardy,Leicester City,Championship,36,6,1,9,8,0.21,18,2,8,1505.0,213.0
Jamilu Collins,Cardiff City,Championship,29,0,3,75,1,0.0,33,7,10,673.5,1540.5
Jan Bednarek,Southampton,Championship,27,1,0,135,3,0.07,23,2,6,1384.0,827.0
Jannik Vestergaard,Leicester City,Championship,31,2,0,103,7,0.13,28,6,9,1158.5,460.5
Janoi Donacien,Ipswich Town,Championship,30,0,0,9,0,0,4,0,0,2385.5,1712.5
Jason Knight,Bristol City,Championship,22,2,3,104,12,0.04,57,28,18,258.0,554.5
Jason Lokilo,Hull City,Championship,25,0,0,26,2,0.0,20,8,9,1418.0,1452.5
Jay Dasilva,Coventry City,Championship,25,0,1,74,0,0.0,59,19,36,465.0,1712.5
Jay Fulton,Swansea City,Championship,29,1,0,76,6,0.06,28,10,11,1073.0,728.5
Jay Stansfield,Birmingham City,Championship,21,7,2,27,15,0.13,49,10,24,746.5,224.5
Jayson Molumby,West Brom,Championship,24,0,1,49,0,0.0,27,3,7,1206.0,1712.5
Jean Seri,Hull City,Championship,32,0,2,102,1,0.0,69,14,29,349.5,1540.5
Jed Wallace,West Brom,Championship,29,3,3,51,6,0.14,57,29,25,362.0,408.0
Jeff Hendrick,Sheffield Weds,Championship,31,1,0,10,2,0.17,2,0,3,2150.5,726.5
Jenson Seelt,Sunderland,Championship,20,0,1,12,3,0.0,12,1,5,1642.0,1375.0
Jeremy Ngakia,Watford,Championship,23,0,1,49,1,0.0,28,17,13,770.5,1540.5
Jeremy Sarmiento,West Brom,Championship,21,2,0,17,6,0.13,18,11,7,1474.0,488.5
Jerry Yates,Swansea City,Championship,27,6,0,23,9,0.27,27,5,13,1437.0,163.0
Jewison Bennette,Sunderland,Championship,19,0,1,0,0,0,1,1,1,2059.0,1712.5
Jimmy Dunne,QPR,Championship,26,0,0,22,1,0.0,11,3,7,1652.0,1540.5
Jobe Bellingham,Sunderland,Championship,18,4,1,82,13,0.11,58,10,20,660.0,329.0
Joe Allen,Swansea City,Championship,33,0,0,9,0,0.0,4,2,2,2010.0,1712.5
Joe Aribo,Southampton,Championship,27,1,0,64,2,0.1,22,16,9,1093.5,848.0
Joe Bryan,Millwall,Championship,30,1,0,36,2,0.13,27,8,11,1310.0,787.0
Joe Edwards,Plymouth Argyle,Championship,33,2,0,45,3,0.18,18,4,5,1548.0,536.5
Joe Gelhardt,Leeds United,Championship,21,0,0,6,1,0.0,2,3,2,1979.0,1540.5
Joe Gubbins,QPR,Championship,22,0,0,1,0,0,0,0,0,2516.5,1712.5
Joe Ralls,Cardiff City,Championship,30,1,6,77,3,0.08,49,9,25,406.5,811.5
Joe Rankin-Costello,Blackburn,Championship,24,2,2,47,2,0.13,19,8,7,930.0,684.0
Joe Rodon,Leeds United,Championship,26,0,0,89,1,0.0,13,0,4,1695.5,1540.5
Joe Williams,Bristol City,Championship,27,0,3,88,1,0.0,27,12,17,427.5,1540.5
Joey Phuthi,Sheffield Weds,Championship,19,0,0,0,0,0,0,0,0,2590.0,1712.5
John Buckley,Sheffield Weds,Championship,24,0,0,25,0,0.0,12,4,6,1615.0,1712.5
John Buckley,Sheffield Weds,Championship,24,0,0,25,0,0.0,12,0,0,2250.0,1712.5
John Buckley,Sheffield Weds,Championship,24,0,0,25,0,0.0,0,4,6,1615.0,1712.5
John Buckley,Sheffield Weds,Championship,24,0,0,25,0,0.0,0,0,0,2250.0,1712.5
John Buckley,Sheffield Weds,Championship,24,0,0,25,0,0,12,4,6,1615.0,1712.5
John Buckley,Sheffield Weds,Championship,24,0,0,25,0,0,12,0,0,2250.0,1712.5
John Buckley,Sheffield Weds,Championship,24,0,0,25,0,0,0,4,6,1615.0,1712.5
John Buckley,Sheffield Weds,Championship,24,0,0,25,0,0,0,0,0,2250.0,1712.5
John Buckley,Blackburn,Championship,24,0,0,0,0,0.0,12,4,6,1955.0,1712.5
John Buckley,Blackburn,Championship,24,0,0,0,0,0.0,12,0,0,2590.0,1712.5
John Buckley,Blackburn,Championship,24,0,0,0,0,0.0,0,4,6,1955.0,1712.5
John Buckley,Blackburn,Championship,24,0,0,0,0,0.0,0,0,0,2590.0,1712.5
John Buckley,Blackburn,Championship,24,0,0,0,0,0,12,4,6,1955.0,1712.5
John Buckley,Blackburn,Championship,24,0,0,0,0,0,12,0,0,2590.0,1712.5
John Buckley,Blackburn,Championship,24,0,0,0,0,0,0,4,6,1955.0,1712.5
John Buckley,Blackburn,Championship,24,0,0,0,0,0,0,0,0,2590.0,1712.5
John Ruddy,Birmingham City,Championship,37,0,0,0,0,0,4,0,1,2480.5,1712.5
John Swift,West Brom,Championship,28,6,1,76,7,0.23,47,23,24,481.0,229.5
Jon Rowe,Norwich City,Championship,20,10,2,46,17,0.22,57,12,24,611.5,97.0
Jonathan Hogg,Huddersfield,Championship,35,0,0,87,1,0.0,31,6,13,1099.0,1540.5
Jonathan Panzo,Cardiff City,Championship,23,0,0,3,0,0,0,0,0,2465.5,1712.5
Jonny Howson,Middlesbrough,Championship,35,2,1,121,4,0.09,72,15,36,433.0,632.5
Jordan Houghton,Plymouth Argyle,Championship,28,0,0,97,2,0.0,45,7,20,985.0,1452.5
Jordan Hugill,Rotherham Utd,Championship,31,3,0,23,7,0.13,21,5,11,1465.0,404.0
Jordan James,Birmingham City,Championship,19,5,0,53,10,0.24,26,11,10,1181.0,184.0
Jordan Storey,Preston,Championship,26,0,0,57,1,0.0,15,3,5,1528.0,1540.5
Jordan Thompson,Stoke City,Championship,27,1,1,48,1,0.14,16,8,5,1136.0,851.0
Joseph James,Bristol City,Championship,0,0,0,0,0,0,0,0,0,2590.0,1712.5
Josh Bowler,Cardiff City,Championship,24,2,1,31,9,0.09,33,9,12,1004.5,498.0
Josh Coburn,Middlesbrough,Championship,21,5,1,14,9,0.23,16,6,9,1269.0,203.0
Josh Eccles,Coventry City,Championship,23,1,2,151,5,0.06,68,22,41,192.5,759.0
Josh Ginnelly,Swansea City,Championship,26,1,0,4,2,0.17,7,1,2,2137.0,726.5
Josh Key,Swansea City,Championship,24,1,1,58,1,0.1,39,17,19,653.0,936.0
Josh Koroma,Huddersfield,Championship,25,1,2,46,17,0.02,49,20,20,542.0,638.0
Josh Laurent,Stoke City,Championship,28,0,1,86,2,0.0,40,18,11,622.0,1452.5
Josh Maja,West Brom,Championship,25,1,0,2,2,0.25,7,0,2,2307.5,673.5
Josh Ruffels,Huddersfield,Championship,30,0,0,27,1,0.0,14,10,8,1394.0,1540.5
Josh Sargent,Norwich City,Championship,23,4,1,7,7,0.33,16,3,6,1521.0,237.0
Josh Tymon,Stoke City,Championship,24,0,0,3,0,0,2,3,2,2027.5,1712.5
Josh Tymon,Stoke City,Championship,24,0,0,3,0,0,2,13,22,1369.0,1712.5
Josh Tymon,Stoke City,Championship,24,0,0,3,0,0,43,3,2,2027.5,1712.5
Josh Tymon,Stoke City,Championship,24,0,0,3,0,0,43,13,22,1369.0,1712.5
Josh Tymon,Stoke City,Championship,24,0,0,3,2,0.0,2,3,2,2027.5,1452.5
Josh Tymon,Stoke City,Championship,24,0,0,3,2,0.0,2,13,22,1369.0,1452.5
Josh Tymon,Stoke City,Championship,24,0,0,3,2,0.0,43,3,2,2027.5,1452.5
Josh Tymon,Stoke City,Championship,24,0,0,3,2,0.0,43,13,22,1369.0,1452.5
Josh Tymon,Swansea City,Championship,24,0,2,68,0,0,2,3,2,1169.5,1712.5
Josh Tymon,Swansea City,Championship,24,0,2,68,0,0,2,13,22,511.0,1712.5
Josh Tymon,Swansea City,Championship,24,0,2,68,0,0,43,3,2,1169.5,1712.5
Josh Tymon,Swansea City,Championship,24,0,2,68,0,0,43,13,22,511.0,1712.5
Josh Tymon,Swansea City,Championship,24,0,2,68,2,0.0,2,3,2,1169.5,1452.5
Josh Tymon,Swansea City,Championship,24,0,2,68,2,0.0,2,13,22,511.0,1452.5
Josh Tymon,Swansea City,Championship,24,0,2,68,2,0.0,43,3,2,1169.5,1452.5
Josh Tymon,Swansea City,Championship,24,0,2,68,2,0.0,43,13,22,511.0,1452.5
Josh Windass,Sheffield Weds,Championship,30,2,2,45,11,0.06,40,8,19,744.0,525.5
Joshua Austerfield,Huddersfield,Championship,22,0,0,2,0,0,1,0,1,2378.5,1712.5
Joshua Kayode,Rotherham Utd,Championship,31,0,0,1,0,0.0,0,0,0,2516.5,1712.5
Joël Latibeaudière,Coventry City,Championship,24,1,1,83,1,0.2,31,6,7,950.0,790.5
Joël Piroe,Leeds United,Championship,24,9,1,75,23,0.14,53,12,22,628.5,149.5
Joël Piroe,Leeds United,Championship,24,9,1,75,23,0.14,53,2,1,1404.5,149.5
Joël Piroe,Leeds United,Championship,24,9,1,75,23,0.14,8,12,22,628.5,149.5
Joël Piroe,Leeds United,Championship,24,9,1,75,23,0.14,8,2,1,1404.5,149.5
Joël Piroe,Leeds United,Championship,24,9,1,75,3,0.0,53,12,22,628.5,843.5
Joël Piroe,Leeds United,Championship,24,9,1,75,3,0.0,53,2,1,1404.5,843.5
Joël Piroe,Leeds United,Championship,24,9,1,75,3,0.0,8,12,22,628.5,843.5
Joël Piroe,Leeds United,Championship,24,9,1,75,3,0.0,8,2,1,1404.5,843.5
Joël Piroe,Swansea City,Championship,24,0,0,5,23,0.14,53,12,22,1349.5,681.0
Joël Piroe,Swansea City,Championship,24,0,0,5,23,0.14,53,2,1,2125.5,681.0
Joël Piroe,Swansea City,Championship,24,0,0,5,23,0.14,8,12,22,1349.5,681.0
Joël Piroe,Swansea City,Championship,24,0,0,5,23,0.14,8,2,1,2125.5,681.0
Joël Piroe,Swansea City,Championship,24,0,0,5,3,0.0,53,12,22,1349.5,1375.0
Joël Piroe,Swansea City,Championship,24,0,0,5,3,0.0,53,2,1,2125.5,1375.0
Joël Piroe,Swansea City,Championship,24,0,0,5,3,0.0,8,12,22,1349.5,1375.0
Joël Piroe,Swansea City,Championship,24,0,0,5,3,0.0,8,2,1,2125.5,1375.0
Juan Delgado,Sheffield Weds,Championship,30,1,0,13,3,0.1,15,10,6,1566.5,770.5
Julio Pleguezuelo,Plymouth Argyle,Championship,26,0,0,41,1,0.0,10,0,3,1943.0,1540.5
Juninho Bacuna,Birmingham City,Championship,26,4,4,80,15,0.06,71,13,32,304.5,412.0
Junior Firpo,Leeds United,Championship,27,0,2,11,0,0.0,6,2,5,1448.5,1712.5
Junior Tchamadeu,Stoke City,Championship,20,0,0,16,0,0.0,10,5,4,1732.0,1712.5
Kai Andrews,Coventry City,Championship,17,0,0,0,0,0,0,0,0,2590.0,1712.5
Kaine Kessler,Plymouth Argyle,Championship,21,0,2,78,7,0.0,34,11,15,565.5,1229.0
Kal Naismith,Bristol City,Championship,31,1,2,29,2,0.08,24,2,9,1178.5,889.0
Kamaldeen Sulemana,Southampton,Championship,21,0,3,27,5,0.0,24,18,12,676.5,1287.5
Karl Darlow,Leeds United,Championship,33,0,0,0,0,0,0,0,0,2590.0,1712.5
Karlan Grant,Cardiff City,Championship,26,4,2,50,10,0.11,33,12,17,650.5,356.0
Kasey McAteer,Leicester City,Championship,22,4,0,17,6,0.24,17,7,5,1630.0,296.0
Kasey Palmer,Coventry City,Championship,27,1,2,41,7,0.06,27,19,14,643.0,700.5
Kayden Jackson,Ipswich Town,Championship,29,2,1,4,3,0.17,16,5,8,1429.5,546.0
Kelechi Iheanacho,Leicester City,Championship,27,5,1,21,8,0.12,34,7,15,1081.0,347.0
Kellen Fisher,Norwich City,Championship,19,0,1,1,0,0.0,7,1,3,1870.5,1712.5
Ken Sema,Watford,Championship,30,1,3,68,5,0.08,66,32,39,232.5,724.0
Kenneth Paal,QPR,Championship,26,3,1,77,5,0.25,59,15,34,508.5,349.0
Kenny McLean,Norwich City,Championship,32,0,3,174,0,0.0,63,22,18,242.0,1712.5
Keshi Anderson,Birmingham City,Championship,28,0,1,27,2,0.0,36,11,15,948.5,1452.5
Kevin Long,Birmingham City,Championship,33,0,0,14,1,0.0,4,1,1,2104.0,1540.5
Kevin Nisbet,Millwall,Championship,26,5,0,19,13,0.14,19,5,8,1574.0,237.5
Ki-Jana Hoever,Stoke City,Championship,21,1,2,98,3,0.08,42,27,24,283.5,811.5
Kian Best,Preston,Championship,18,0,1,26,0,0.0,15,5,8,1225.5,1712.5
Kian Harratt,Huddersfield,Championship,21,1,1,13,2,0.1,9,1,6,1593.5,848.0
Kiernan Dewsbury-Hall,Leicester City,Championship,25,8,9,145,22,0.14,119,45,68,22.5,164.0
Kion Etete,Cardiff City,Championship,22,2,0,11,8,0.12,13,2,6,1838.0,459.0
Koji Miyoshi,Birmingham City,Championship,26,3,3,56,8,0.11,51,17,28,395.0,424.0
Kristian Pedersen,Swansea City,Championship,29,0,0,13,0,0.0,3,2,2,1972.5,1712.5
Kristoffer Klaesson,Leeds United,Championship,23,0,0,0,0,0,0,0,0,2590.0,1712.5
Krystian Bielik,Birmingham City,Championship,26,0,0,76,6,0.0,31,4,13,1191.5,1257.0
Kyle Bartley,West Brom,Championship,32,2,0,32,2,0.17,8,1,4,1817.0,623.5
Kyle Hudlin,Huddersfield,Championship,23,0,0,5,1,0.0,2,2,1,2125.5,1540.5
Kyle McFadzean,Coventry City,Championship,36,1,0,34,2,0.09,9,2,2,1822.0,868.5
Kyle Naughton,Swansea City,Championship,35,0,0,7,0,0,2,0,0,2405.5,1712.5
Kyle Walker-Peters,Southampton,Championship,26,2,2,193,4,0.09,80,47,30,160.5,632.5
Lamine Diaby,Sheffield Weds,Championship,27,0,0,1,0,0.0,1,0,1,2407.0,1712.5
Law McCabe,Middlesbrough,Championship,17,0,0,1,0,0,0,0,0,2516.5,1712.5
Layton Stewart,Preston,Championship,21,0,0,0,0,0.0,1,0,0,2590.0,1712.5
Lee Buchanan,Birmingham City,Championship,22,0,0,59,0,0.0,13,8,6,1329.5,1712.5
Lee Evans,Ipswich Town,Championship,29,0,0,5,0,0.0,2,0,2,2249.5,1712.5
Lee Gregory,Sheffield Weds,Championship,35,1,0,12,3,0.08,12,2,4,1901.5,811.5
Lee Nicholls,Huddersfield,Championship,31,0,0,0,0,0,2,0,0,2590.0,1712.5
Lee Peltier,Rotherham Utd,Championship,37,2,0,17,2,0.67,6,1,3,1958.5,536.5
Leif Davis,Ipswich Town,Championship,23,0,9,84,5,0.0,108,34,68,102.5,1287.5
Leo Fuhr Hjelde,Leeds United,Championship,20,0,0,2,0,0,0,0,0,2488.0,1712.5
Leopold Wahlstedt,Blackburn,Championship,24,0,0,0,0,0,1,0,0,2590.0,1712.5
Lewie Coyle,Hull City,Championship,28,1,0,88,3,0.07,34,15,17,882.0,827.0
Lewis Baker,Stoke City,Championship,28,0,0,3,4,0.0,4,0,2,2285.0,1319.5
Lewis Gibson,Plymouth Argyle,Championship,23,0,0,68,1,0.0,18,1,3,1684.5,1540.5
Lewis O'Brien,Middlesbrough,Championship,25,0,0,9,2,0.0,11,2,3,1966.0,1452.5
Lewis Travis,Blackburn,Championship,26,0,2,98,3,0.0,39,26,16,358.5,1375.0
Lewis Warrington,Plymouth Argyle,Championship,21,0,0,1,0,0,1,0,0,2516.5,1712.5
Liam Cooper,Leeds United,Championship,32,1,0,34,2,0.5,4,0,1,2088.0,644.0
Liam Cullen,Swansea City,Championship,24,4,3,30,11,0.19,24,11,11,781.0,226.0
Liam Delap,Hull City,Championship,20,7,2,46,28,0.12,74,16,25,547.0,204.0
Liam Gibbs,Norwich City,Championship,21,0,0,11,0,0.0,10,3,3,1884.0,1712.5
Liam Kelly,Coventry City,Championship,33,0,1,21,2,0.0,5,4,2,1508.0,1452.5
Liam Kitching,Coventry City,Championship,24,0,0,50,0,0.0,13,4,2,1633.0,1712.5
Liam Lindsay,Preston,Championship,28,3,0,53,5,0.25,18,3,5,1547.0,349.0
Liam Millar,Preston,Championship,24,3,4,28,9,0.09,50,13,17,656.0,441.5
Liam Palmer,Sheffield Weds,Championship,32,0,0,40,0,0.0,16,10,5,1427.5,1712.5
Liam Walsh,Swansea City,Championship,26,1,0,25,3,0.11,16,6,9,1472.0,753.0
Loick Ayina,Huddersfield,Championship,20,0,0,1,0,0.0,0,0,0,2516.5,1712.5
Luis Binks,Coventry City,Championship,22,0,1,44,1,0.0,5,3,5,1303.0,1540.5
Luis Semedo,Sunderland,Championship,20,0,0,2,2,0.0,2,0,1,2378.5,1452.5
Luis Sinisterra,Leeds United,Championship,24,1,0,10,4,0.2,13,3,4,1857.0,569.5
Lukas Engel,Middlesbrough,Championship,25,0,3,69,3,0.0,33,18,17,411.5,1375.0
Lukas Jutkiewicz,Birmingham City,Championship,34,2,1,11,7,0.06,7,4,5,1476.5,597.5
Luke Ayling,Leeds United,Championship,32,1,1,24,1,0.13,20,9,13,1039.0,875.0
Luke Cundle,Plymouth Argyle,Championship,21,3,5,59,10,0.13,47,9,25,491.0,344.0
Luke McNally,Stoke City,Championship,24,1,0,44,2,0.08,14,3,4,1630.0,889.0
Luke O'Nien,Sunderland,Championship,29,1,0,114,5,0.06,24,8,7,1158.0,759.0
Luke Woolfenden,Ipswich Town,Championship,25,1,0,49,1,0.25,20,4,3,1598.5,761.5
Lynden Gooch,Stoke City,Championship,28,2,0,71,3,0.2,27,19,10,988.0,522.0
Lynden Gooch,Stoke City,Championship,28,2,0,71,3,0.2,27,0,1,1910.5,522.0
Lynden Gooch,Stoke City,Championship,28,2,0,71,3,0.2,0,19,10,988.0,522.0
Lynden Gooch,Stoke City,Championship,28,2,0,71,3,0.2,0,0,1,1910.5,522.0
Lynden Gooch,Stoke City,Championship,28,2,0,71,0,0,27,19,10,988.0,1335.0
Lynden Gooch,Stoke City,Championship,28,2,0,71,0,0,27,0,1,1910.5,1335.0
Lynden Gooch,Stoke City,Championship,28,2,0,71,0,0,0,19,10,988.0,1335.0
Lynden Gooch,Stoke City,Championship,28,2,0,71,0,0,0,0,1,1910.5,1335.0
Lynden Gooch,Sunderland,Championship,28,0,0,1,3,0.2,27,19,10,1484.5,899.5
Lynden Gooch,Sunderland,Championship,28,0,0,1,3,0.2,27,0,1,2407.0,899.5
Lynden Gooch,Sunderland,Championship,28,0,0,1,3,0.2,0,19,10,1484.5,899.5
Lynden Gooch,Sunderland,Championship,28,0,0,1,3,0.2,0,0,1,2407.0,899.5
Lynden Gooch,Sunderland,Championship,28,0,0,1,0,0,27,19,10,1484.5,1712.5
Lynden Gooch,Sunderland,Championship,28,0,0,1,0,0,27,0,1,2407.0,1712.5
Lynden Gooch,Sunderland,Championship,28,0,0,1,0,0,0,19,10,1484.5,1712.5
Lynden Gooch,Sunderland,Championship,28,0,0,1,0,0,0,0,1,2407.0,1712.5
Lyndon Dykes,QPR,Championship,28,3,0,29,13,0.05,21,7,11,1360.0,476.0
Macaulay Gillesphey,Plymouth Argyle,Championship,28,0,0,9,0,0.0,7,0,2,2205.0,1712.5
Mads Frøkjær-Jensen,Preston,Championship,24,3,2,45,5,0.14,24,12,11,754.0,438.5
Mads Hermansen,Leicester City,Championship,23,0,0,1,0,0,3,1,0,2389.0,1712.5
Mahlon Romeo,Cardiff City,Championship,28,0,0,9,0,0.0,6,3,2,1947.5,1712.5
Mallik Wilks,Sheffield Weds,Championship,25,0,0,3,0,0.0,8,3,2,2027.5,1712.5
Marc Albrighton,Leicester City,Championship,34,0,0,6,0,0.0,4,3,3,1935.0,1712.5
Marc Roberts,Birmingham City,Championship,33,0,0,9,1,0.0,4,2,4,1930.0,1540.5
Marcel Oakley,Birmingham City,Championship,21,0,0,2,0,0,0,0,0,2488.0,1712.5
Marcelino Núñez,Norwich City,Championship,23,0,1,61,6,0.0,34,8,14,851.5,1257.0
Marcus Forss,Middlesbrough,Championship,24,2,2,4,5,0.05,12,2,6,1488.0,678.0
Marcus Harness,Ipswich Town,Championship,27,4,0,36,10,0.19,23,6,11,1355.0,238.0
Mark McGuinness,Cardiff City,Championship,23,2,0,37,5,0.11,7,3,4,1666.5,562.5
Mark Sykes,Bristol City,Championship,26,5,2,61,7,0.25,44,23,23,419.0,235.0
Mark Travers,Stoke City,Championship,24,0,0,0,0,0,3,0,0,2590.0,1712.5
Marvin Johnson,Sheffield Weds,Championship,33,3,2,46,7,0.21,30,16,13,667.5,309.5
Mason Burstow,Sunderland,Championship,20,0,1,10,5,0.0,12,3,7,1456.0,1287.5
Mason Holgate,Southampton,Championship,27,0,0,12,1,0.0,2,1,1,2120.0,1540.5
Massimo Luongo,Ipswich Town,Championship,31,2,0,137,6,0.1,53,20,26,685.0,549.5
Mateo Joseph,Leeds United,Championship,20,0,0,0,0,0,1,0,0,2590.0,1712.5
Matheus Martins,Watford,Championship,20,5,1,58,13,0.11,54,23,20,594.5,305.0
Matija Šarkić,Millwall,Championship,26,0,0,0,0,0,1,0,0,2590.0,1712.5
Matt Butcher,Plymouth Argyle,Championship,26,0,0,17,0,0.0,9,4,3,1784.0,1712.5
Matt Crooks,Middlesbrough,Championship,29,3,6,115,13,0.09,49,18,21,238.0,398.5
Matt Grimes,Swansea City,Championship,28,2,4,191,4,0.15,70,28,35,90.0,508.0
Matt Ingram,Hull City,Championship,30,0,0,0,0,0,1,0,0,2590.0,1712.5
Matt Phillips,West Brom,Championship,32,3,3,37,7,0.13,42,18,20,543.5,404.0
Matthew Clarke,Middlesbrough,Championship,27,0,1,13,0,0.0,5,0,1,1944.5,1712.5
Matthew Godden,Coventry City,Championship,32,6,0,42,16,0.14,35,10,15,1192.0,204.5
Matthew Pollock,Watford,Championship,22,0,0,5,0,0,2,0,0,2430.0,1712.5
Matty Jacob,Hull City,Championship,22,0,0,1,0,0,0,1,0,2389.0,1712.5
Matty James,Bristol City,Championship,32,2,0,64,3,0.14,31,2,13,1354.5,582.5
Matty Pearson,Huddersfield,Championship,30,1,1,59,3,0.09,20,5,8,1052.0,791.0
Max O'Leary,Bristol City,Championship,27,0,0,2,0,0,5,0,0,2488.0,1712.5
Mehdi Léris,Stoke City,Championship,25,2,1,26,4,0.13,31,7,15,1037.5,551.0
Michael Cooper,Plymouth Argyle,Championship,24,0,0,0,0,0,0,0,0,2590.0,1712.5
Michael Ihiekwe,Sheffield Weds,Championship,31,0,1,15,2,0.0,5,0,1,1929.0,1452.5
Michael Rose,Stoke City,Championship,28,1,0,63,1,0.11,14,3,1,1688.0,918.5
Michael Smith,Sheffield Weds,Championship,32,3,0,8,5,0.3,10,3,3,1913.0,331.0
Michał Helik,Huddersfield,Championship,28,7,0,51,11,0.39,12,2,4,1650.5,111.0
Mickel Miller,Plymouth Argyle,Championship,28,0,1,38,0,0.0,23,6,12,1033.5,1712.5
Milan van Ewijk,Coventry City,Championship,23,1,2,66,2,0.07,41,20,16,486.5,904.5
Mileta Rajovic,Watford,Championship,24,8,0,10,11,0.31,18,1,13,1746.0,110.0
Milutin Osmajić,Preston,Championship,24,4,2,7,9,0.25,11,1,4,1588.5,215.0
Morgan Fox,QPR,Championship,30,0,0,9,1,0.0,5,1,0,2258.0,1540.5
Morgan Rogers,Middlesbrough,Championship,21,2,4,70,13,0.07,60,20,32,258.0,491.0
Morgan Whittaker,Plymouth Argyle,Championship,23,13,5,90,39,0.12,103,36,36,113.0,176.5
Murray Wallace,Millwall,Championship,31,2,1,80,6,0.15,25,11,13,717.0,445.5
Mustapha Bundu,Plymouth Argyle,Championship,26,2,1,0,9,0.18,0,0,0,2296.0,346.5
Mykola Kukharevych,Swansea City,Championship,22,1,0,2,1,0.33,1,0,1,2378.5,739.5
Nahki Wells,Bristol City,Championship,33,2,0,12,5,0.11,23,7,11,1496.5,562.5
Nathan Broadhead,Ipswich Town,Championship,25,8,2,57,14,0.15,57,13,30,500.0,178.5
Nathan Lowe,Stoke City,Championship,18,1,0,1,3,0.2,1,0,0,2516.5,625.0
Nathan Tella,Southampton,Championship,24,1,1,5,4,0.09,10,3,3,1654.0,735.5
Nathan Wood-Gordon,Swansea City,Championship,21,1,0,23,3,0.25,6,3,1,1901.5,596.0
Nathaniel Chalobah,West Brom,Championship,29,0,1,27,2,0.0,11,3,3,1458.0,1452.5
Nazariy Rusyn,Sunderland,Championship,25,1,1,3,2,0.1,9,3,4,1653.5,848.0
Nectarios Triantis,Sunderland,Championship,20,0,0,3,0,0,0,0,0,2465.5,1712.5
Niall Ennis,Blackburn,Championship,24,0,0,5,2,0.0,9,1,6,1969.5,1452.5
Niall Huggins,Sunderland,Championship,23,1,1,67,3,0.14,25,7,7,995.0,685.5
Nikola Jojić,Stoke City,Championship,20,0,0,0,0,0,0,0,0,2590.0,1712.5
Noah Mawene,Preston,Championship,18,0,0,0,0,0,0,0,0,2590.0,1712.5
Okay Yokuşlu,West Brom,Championship,29,0,0,83,2,0.0,25,3,7,1346.5,1452.5
Oliver Burke,Birmingham City,Championship,26,0,0,22,3,0.0,21,2,8,1690.5,1375.0
Oliver Cooper,Swansea City,Championship,24,1,1,19,3,0.11,18,3,6,1411.0,753.0
Oliver Rathbone,Rotherham Utd,Championship,27,1,1,63,6,0.05,47,17,21,621.0,750.5
